name,lat,lng,rating,types
Trait'Tendance,48.81798209999999,2.2511987,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Lumière Du Soleil,48.8176376,2.2497844,3.9,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']"
Au 31,48.81902210000001,2.2498671,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Bang King,48.81827440000001,2.2514808,4.5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Rosa,48.8186984,2.2494302,4.9,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Pizza O'Klm81,48.8180479,2.2458471,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Shivam Lounge,48.81899320000001,2.2494317,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Daikichi,48.8189366,2.251331,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Nonna Pizza,48.81228780000001,2.2473522,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Am,48.8182929,2.2515728,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Pizza Siciliana,48.81832279999999,2.251661799999999,4.4,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Les Crayères des Montquartiers,48.8176062,2.2520351,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Nova Kfé,48.81700439999999,2.2484238,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Perle des Antilles,48.8188883,2.2542387,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Tokyo Restaurant,48.8120697,2.2583118,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Le Percy,48.8151967,2.2576865,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"Markar - Cuisine levantine, épicerie fine, vins d'Arménie",48.8156946,2.2563866,4.8,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Trait'Tendance,48.81798209999999,2.2511987,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Bang King,48.81827440000001,2.2514808,4.5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Issy Guinguette,48.8188934,2.2554254,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Restaurant Les Papillons d'Issy - Solipolis,48.8188857,2.2529302,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Brasserie Au Bon Accueil Restaurant,48.81908229999999,2.2547413,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Lumière Du Soleil,48.8176376,2.2497844,3.9,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']"
Daikichi,48.8189366,2.251331,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Au Feu D'autre Bois,48.81695149999999,2.2596056,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Thon Nagasaki,48.81767120000001,2.249263,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Au 31,48.81902210000001,2.2498671,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Ou Lala,48.81622240000001,2.2475612,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Rosa,48.8186984,2.2494302,4.9,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
La Cuisine Du Soleil,48.81137500000001,2.258575,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Bella 92,48.81772799999999,2.260428,4.1,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Franprix,48.8178207,2.2601714,3.4,"['supermarket', 'liquor_store', 'convenience_store', 'grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Tokyo Restaurant,48.8120697,2.2583118,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
GOUT-NATURE,48.8192111,2.259612,3.9,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Libre Service Clamart,48.81129019999999,2.25852,4.4,"['grocery_or_supermarket', 'liquor_store', 'convenience_store', 'bar', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Le Percy,48.8151967,2.2576865,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Au Feu D'autre Bois,48.81695149999999,2.2596056,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"Markar - Cuisine levantine, épicerie fine, vins d'Arménie",48.8156946,2.2563866,4.8,"['grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Au Feu d'Autre Bois,48.8175364,2.2602624,3.3,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
Restaurant Le Nouveau Jardin Thaïlandais,48.8116766,2.2580252,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Issy Guinguette,48.8188934,2.2554254,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Le Fleury,48.8112493,2.2583821,4.9,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bella 92,48.81772799999999,2.260428,4.1,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Franprix,48.8178207,2.2601714,3.4,"['supermarket', 'liquor_store', 'convenience_store', 'grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Maison Avoise,48.81736799999999,2.2664602,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Terre et Fourchette boutique,48.8174405,2.2664633,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Au Feu d'Autre Bois,48.8175364,2.2602624,3.3,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
Au Feu D'autre Bois,48.81695149999999,2.2596056,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Gendarmerie Nationale - Cercle Mixte de l'Administration Centrale d'Issy-les-Moulineaux,48.8146769,2.2698459,,"['restaurant', 'food', 'point_of_interest', 'local_government_office', 'establishment']"
Paris'sy,48.8184389,2.2684472,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Le Percy,48.8151967,2.2576865,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Comme Chez Rose,48.8174857,2.2700702,4.7,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bella Familia Pizza,48.81243559999999,2.2732185,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Gendarmerie Nationale - Cercle Mixte de l'Administration Centrale d'Issy-les-Moulineaux,48.8146769,2.2698459,,"['restaurant', 'local_government_office', 'food', 'point_of_interest', 'establishment']"
Comme Chez Rose,48.8174857,2.2700702,4.7,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Maison Avoise,48.81736799999999,2.2664602,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Terre et Fourchette boutique,48.8174405,2.2664633,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Paris'sy,48.8184389,2.2684472,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Cinq,48.81315530000001,2.272478200000001,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Via Mamma,48.8127778,2.2730556,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Mikeltxo,48.8127574,2.2726799,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Creperie de la Gare,48.8125854,2.2732204,4.9,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Brasserie La Fourche,48.8116789,2.270747699999999,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bella Familia Pizza,48.81243559999999,2.2732185,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Super Pizza,48.81386910000001,2.2788481,3.6,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Via Mamma,48.8127778,2.2730556,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Couscous d'Issy,48.81738550000001,2.2763353,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Cinq,48.81315530000001,2.272478200000001,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Mikeltxo,48.8127574,2.2726799,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Gendarmerie Nationale - Cercle Mixte de l'Administration Centrale d'Issy-les-Moulineaux,48.8146769,2.2698459,,"['restaurant', 'local_government_office', 'food', 'point_of_interest', 'establishment']"
Creperie de la Gare,48.8125854,2.2732204,4.9,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Comme Chez Rose,48.8174857,2.2700702,4.7,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Chicken Story,48.8137062,2.2788906,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Super Pizza,48.81386910000001,2.2788481,3.6,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Les Pieds dans l’Herbe (au Pavillon de la Tourelle),48.8179352,2.2830258,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
L'Amandine,48.81771080000001,2.2837367,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Chicken Story,48.8137062,2.2788906,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Couscous d'Issy,48.81738550000001,2.2763353,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Le Pavillon De La Tourelle,48.8176971,2.2831359,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
La Maison de la Pizza,48.811556,2.2807272,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']"
La Villa Vanves,48.8181216,2.2838979,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Mina Alimentation Générale et Taxiphone,48.8115188,2.2807884,3.7,"['grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Sayori Sushi,48.81378950000001,2.2861714,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Super Pizza,48.81386910000001,2.2788481,3.6,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
L'Amandine,48.81771080000001,2.2837367,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Les Pieds dans l’Herbe (au Pavillon de la Tourelle),48.8179352,2.2830258,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Caverne A Pizza,48.81928439999999,2.2876555,3.2,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Maison Denis Par Bibi,48.8142078,2.2864249,4.8,"['liquor_store', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Carrefour Express,48.8144096,2.2867538,2.8,"['supermarket', 'grocery_or_supermarket', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Le Pavillon De La Tourelle,48.8176971,2.2831359,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
La Villa Vanves,48.8181216,2.2838979,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Carrefour City,48.8183593,2.2862206,3.5,"['supermarket', 'grocery_or_supermarket', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
