name,lat,lng,rating,types
Carrefour City,48.8150736,2.2343142,3.6,"['supermarket', 'bakery', 'grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
Chez Bachir - Alimentation Générale,48.81445060000001,2.240921199999999,4.9,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Crêperie KORNER SPÉCIAL (Meudon),48.8143511,2.2408605,5.0,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
Emma&Jane Bijoux,48.8156675,2.2363117,,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
Fabioscarpelli Fabioscarp,48.81299500000001,2.23847,,"['food', 'store', 'point_of_interest', 'establishment']"
L'Atelier du Vigneron,48.81425730000001,2.235253,,"['liquor_store', 'food', 'store', 'point_of_interest', 'establishment']"
Crêperie Le Belem,48.8149563,2.234726,4.5,"['meal_takeaway', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
Mail,48.8185793,2.2396957,,"['post_office', 'store', 'point_of_interest', 'finance', 'establishment']"
distribution de flyers et prospectus - Agence de distribution flyers ile-de-France,48.8185793,2.2396957,,"['store', 'point_of_interest', 'establishment']"
Boucherie de la Place,48.8145792,2.234826,4.0,"['food', 'store', 'point_of_interest', 'establishment']"
Boulanger Banette Patissier,48.8150123,2.2344311,4.2,"['bakery', 'food', 'store', 'point_of_interest', 'establishment']"
Boulangerie de la Place,48.8150142,2.2344218,3.9,"['bakery', 'food', 'store', 'point_of_interest', 'establishment']"
Boucherie Charlot,48.81233899999999,2.238567299999999,5.0,"['food', 'store', 'point_of_interest', 'establishment']"
Trésors d'Encadrement,48.8150139,2.2440799,5.0,"['store', 'point_of_interest', 'establishment']"
Les Zinzolines,48.8141861,2.2347099,5.0,"['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Nanana Coffeeshop,48.8141861,2.2347099,4.8,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
Agate,48.8141596,2.2410321,3.7,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
CUBE Bike Paris,48.8170381,2.2479951,4.6,"['bicycle_store', 'store', 'point_of_interest', 'establishment']"
